Company,Job Title,Required Skills,Experience,Qualification
Confidential,Full Stack Developer (Analytics),"['Analytics', 'Angular', 'HTML', 'analytical', 'Express JS', 'kafka', 'Redis', 'Python']",4-9 Yrs,"['B.Tech/B.E. in Computers, B.Sc in Computers, BCA in Computers', 'MCM in Computers and Management, M.Tech in Computers, MS/M.Sc(Science) in Computers, MCA in Computers', 'Ph.D/Doctorate in Any Specialization']"
Ace Talent Consulting,Python / Networking Professional,"['Python', 'HTTP', 'OOPs', 'REST', 'Async IO', 'IT Skills', 'REST API', 'product development']",4-9 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Suche Consultants,Digital Acquisition Head,"['digital sales', 'sales management', 'marketing', 'relationship building', 'LMS system', 'product development', 'customer service', 'Conduct market intelligence']",10-12 Yrs,"['Any Graduate', 'MBA/PGDM in Any Specialization', 'Doctorate Not Required']"
Suche Consultants,Digital Acquisition Head,"['Sales', 'BPO', 'Demat Sales', 'Digital Acquisition', 'Outbound Sales', 'KPO', 'Broking Sales']",10-12 Yrs,"['Any Graduate', 'MBA/PGDM in Any Specialization', 'Doctorate Not Required']"
RCPC,Technical Lead,"['Git', 'IT Skills', 'DevOps', 'data models', 'IT systems', 'Agile development', 'product development', 'Agile']",7-10 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Skill Ventory,Quality Engineer_EEE For a leading Auto OEM,"['QA', 'EEE', 'Dc Dc converter', 'Switches', 'Battery', 'LED', 'Testing']",3-7 Yrs,"['B.Tech/B.E. in Electronics/Telecommunication, Environmental, Instrumentation, Electrical', 'Post Graduation Not Required', 'Doctorate Not Required']"
SKILLVENTORY,IT-Application Head (lending) with a renowned financial Institute,"['New Product Development', 'Techno Functional', 'Project Delivery', 'IT Governance', 'Budget Preparation', 'Cost Benefit Analysis', 'Production Support', 'Release Management']",13-20 Yrs,['Any Graduate']
Ascent HR Services ,Equity Researchers For a  Reputed Financial Services Company in Mumbai,"['equity research', 'Company Research', 'Investment research', 'Equity Valuation', 'Equities research', 'equity researcher', 'Financial Modelling']",5-10 Yrs,"['Any Graduate', 'MBA/PGDM in Finance']"
Stryde Consulting Services  ,AM - Media Sales - Leading Media - Ahmedabad,"['ad sales', 'sales planning', 'media sales', 'marketing', 'sales review', 'product development', 'client servicing', 'market research']",3-8 Yrs,"['Any Graduate', 'Any Postgraduate']"
Talent Leads HR Solutions Pvt Ltd ,"Researcher/Principle Researcher ,Jamshedpur","['research', 'civil engineering design', 'Development', 'market share']",6-10 Yrs,['Ph.D/Doctorate in Any Specialization']
SV Management Consultants  ,Marketing Head - Pune,"['promotions', 'campaigns', 'dealing', 'qualitative research', 'business planning', 'marketing', 'dealer sales', 'manufacturing engineering']",20-25 Yrs,"['Any Graduate', 'MBA/PGDM in Finance, Marketing']"
Uberlife Consulting Private Limited ,Career opportunity | Institutional Sales | Fintech Company | Bangalore,"['Institutional Sales', 'Hunting', 'Farming']",3-8 Yrs,"['Any Graduate', 'MBA/PGDM in Any Specialization, Any Postgraduate', 'Any Doctorate']"
Career Management Services,Assistant Director - Corporate Sales - Advisory Business,"['Corporate Sales', 'large corporates', 'ESG', 'Business Development', 'credit rating', 'competitive intelligence', 'Advisory', 'Sales management']",8-12 Yrs,"['Any Graduate', 'MBA/PGDM in Marketing', 'Doctorate Not Required']"
TekPillar Services Pvt. Ltd,Scrum Master For Automotive domain,"['Scrum master', 'ECU', 'automotive', 'C++', 'Product Development', 'Agile Methodology', 'Communication skills', 'Project Management']",10-16 Yrs,['Any Graduate']
SKILLVENTORY,Div Manager_Traction Motor Design For a leading Automotive OEM,"['Design', 'Electric', 'Traction Motor', 'VAVE', 'Motor', 'Automotive']",10-20 Yrs,['B.Tech/B.E. in Any Specialization']
Pasona India private Limited ,Opportunity with Japanese company as Project Manager at Gurgaon,"['Project Management', 'IT Skills', 'Software Development', 'Cloud', 'BPO', 'Cutting Edge', 'Team Management', 'Product Development']",8-10 Yrs,['Any Graduate']
Squareroot Consulting Pvt Ltd.,Senior/Principle/Java Fullstack Developer,"['IT Skills', 'Java', 'Cloud', 'Javascript', 'JVM', 'AngularJS', 'Hibernate', 'Scala']",3-8 Yrs,"['BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization', 'M.Tech in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization']"
HR4U Consulting ,Business Head,"['Policies', 'Business Ethics', 'Employee Engagement', 'Maintenance']",15-18 Yrs,['MBA/PGDM in Any Specialization']
Kaarlo Training & HR Solutions Pvt. Ltd,Dot Net Developer,"['Dot Net', 'J query', 'Asp net', 'Json', 'MVC5', 'WEBIP', 'RDLC', 'Ajax']",2-5 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Client Of Sampoorna,Performance Tester,"['IT Skills', 'Java', 'Python', 'Testing', 'Performance Testing', 'Azure', 'Performance']",6-10 Yrs,['B.Tech/B.E. in Computers']
