Company,Job Title,Required Skills,Experience,Qualification
Easy Recruit,Business Manager- National,"['business management', 'marketing', 'channel partners management', 'sales forecasting', 'branding', 'sales strategy', 'business growth', 'sales']",15-20 Yrs,"['Any Graduate', 'MBA/PGDM in Any Specialization', 'Doctorate Not Required']"
Ace Talent Consulting,Python / Networking Professional,"['Networking', 'Python', 'Async IO', 'HTTP', 'OOPs', 'REST', 'IT Skills', 'regex']",4-9 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
TheRecruit (Brand of Consult Cubatic EPC Pvt Ltd,Technical Project Manager,"['IT Project Management', 'communication', 'resource planning', 'Agile Methodologies', 'product development', 'Scrum', 'Jira']",5-10 Yrs,"['BCA in Any Specialization, B.Tech/B.E. in Any Specialization', 'M.Tech in Any Specialization, MCA in Any Specialization', 'Doctorate Not Required']"
Ace Talent Consulting,Python + Networking professional,"['Python', 'HTTP', 'OOPs', 'development', 'REST 8', 'Async IO', 'IT Skills', 'REST API']",4-8 Yrs,"['B.Tech/B.E. in Any Specialization', 'Any Postgraduate', 'Doctorate Not Required']"
Keysite Solutions Executive Search,State Head - Sales - Consumer Durables,"['Sales', 'customer satisfaction', 'Channel Management', 'Network Trend Analysis', 'Network loss analysis']",10-15 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
SKILLVENTORY,"Presales (B.Tech – Metallury), Iron & Steel, Jaipur","['Product Development', 'Sales', 'Major Activities']",2-7 Yrs,['B.Tech/B.E. in Metallurgy']
PERSOLKELLY INDIA PRIVATE LIMITED    ,Quality Manager,"['building materials', 'quality manager', 'pipes and plumbing industry', 'Quality Assurance']",10-18 Yrs,['B.Tech/B.E. in Any Specialization']
Inspiration Manpower Consultancy Pvt. Ltd.  ,Embedded Software Developer,"['AUTOSAR', 'Embedded C', 'automotive', 'multi core', 'Unit Testing', 'communication', 'Flexray', 'CAN']",6-10 Yrs,[]
Parvati Associates and Co. ,E-Commerce Manager,"['online marketing', 'marketing', 'Delhi', 'New Delhi', 'online sales', 'E-commerce', 'online business', 'pharma']",5-6 Yrs,['Any Graduate']
Ace Talent Consulting,Python + Networking Professional,"['Python', 'REST', 'HTTP', 'OOPs', 'Async IO', 'IT Skills', 'Product Development', 'Python Programming']",4-9 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Ace Talent Consulting,Python + Networking Professional,"['Python', 'development', 'Async IO', 'OOPs', 'REST 8', 'HTTP', 'IT Skills', 'REST']",4-8 Yrs,"['B.Tech/B.E. in Any Specialization', 'Any Postgraduate', 'Doctorate Not Required']"
Ace Talent Consulting,Python + Networking Professional,"['Python', 'OOPs', 'REST', 'Async IO', 'HTTP', 'IT Skills', 'Networking', 'product development']",4-9 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Keysite Solutions Executive Search,State Head - Sales,"['Sales', 'channel management', 'Business  planning', 'Sales Development', 'Product development', 'Business Development', 'Channel Management', 'sales support']",10-15 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Ace Talent Consulting,Python + Networking Professional,"['Python', 'HTTP', 'OOPs', 'development', 'REST 8', 'Async IO', 'IT Skills', 'REST']",4-8 Yrs,"['B.Tech/B.E. in Any Specialization', 'Any Postgraduate', 'Doctorate Not Required']"
Ace Talent Consulting,Python + Networking Professional,"['Python programming', 'Async IO', 'HTTP', 'Python', 'OOPs', 'REST', 'IT Skills', 'regex']",4-9 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
OPTIONS INDIA GROUP,Manager - Operations - Food Manufacturing - NIT/IIT,"['Operations Management', 'Project Management', 'Mfg Operations', 'Supply chain system', 'Product development', 'Budgeting', 'Operations', 'FMCG Operations']",5-6 Yrs,"['B.Tech/B.E. in Any Specialization', 'Any Postgraduate', 'Doctorate Not Required']"
Stalwart Management Consulting,HRO Presales Role - BPO,"['Presales', 'SAP', 'product development', 'solution development', 'HRO Presales', 'Workday', 'Oracle HRMS', 'Human Resources operations']",12-18 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Resources Valley,Technical Lead Architect,"['.Net Core', 'technical leader', 'Azure', 'architect', 'Object Oriented Design', 'Node.js', 'Express.js', 'lead']",7-12 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Lakshya Software Technologies Private Limited ,DBA,"['cassandra', 'database administration', 'technical operations', 'nosql']",5-10 Yrs,['Any Graduate']
